"","subject","item","response","subscale","reverse"
"1",44,"EXT1",NA,"extra",FALSE
"2",44,"EXT2",1,"extra",TRUE
"3",44,"EXT3",4,"extra",FALSE
"4",44,"EXT4",1,"extra",TRUE
"5",44,"EXT5",5,"extra",FALSE
"6",44,"EXT6",2,"extra",TRUE
"7",44,"EXT7",2,"extra",FALSE
"8",44,"EXT8",5,"extra",TRUE
"9",44,"EXT9",1,"extra",FALSE
"10",44,"EXT10",3,"extra",TRUE
"11",44,"EST1",4,"neuro",FALSE
"12",44,"EST3",5,"neuro",FALSE
"13",44,"EST4",2,"neuro",TRUE
"14",44,"EST5",4,"neuro",FALSE
"15",44,"EST6",4,"neuro",FALSE
"16",44,"EST7",1,"neuro",FALSE
"17",44,"EST8",1,"neuro",FALSE
"18",44,"EST9",2,"neuro",FALSE
"19",44,"EST10",4,"neuro",FALSE
"20",44,"AGR1",5,"agree",TRUE
"21",44,"AGR2",5,"agree",FALSE
"22",44,"AGR3",1,"agree",TRUE
"23",44,"AGR4",5,"agree",FALSE
"24",44,"AGR5",1,"agree",TRUE
"25",44,"AGR6",5,"agree",FALSE
"26",44,"AGR7",1,"agree",TRUE
"27",44,"AGR8",5,"agree",FALSE
"28",44,"AGR9",5,"agree",FALSE
"29",44,"AGR10",5,"agree",FALSE
"30",44,"CSN1",2,"consc",FALSE
"31",44,"CSN2",2,"consc",TRUE
"32",44,"CSN3",2,"consc",FALSE
"33",44,"CSN4",3,"consc",TRUE
"34",44,"CSN5",1,"consc",FALSE
"35",44,"CSN6",3,"consc",TRUE
"36",44,"CSN7",1,"consc",FALSE
"37",44,"CSN8",1,"consc",TRUE
"38",44,"CSN9",4,"consc",FALSE
"39",44,"CSN10",3,"consc",FALSE
"40",44,"OPN1",2,"open",FALSE
"41",44,"OPN2",1,"open",TRUE
"42",44,"OPN3",2,"open",FALSE
"43",44,"OPN4",1,"open",TRUE
"44",44,"OPN5",2,"open",FALSE
"45",44,"OPN6",3,"open",TRUE
"46",44,"OPN7",4,"open",FALSE
"47",44,"OPN8",1,"open",FALSE
"48",44,"OPN9",4,"open",FALSE
"49",44,"OPN10",3,"open",FALSE
"50",355,"EXT1",3,"extra",FALSE
"51",355,"EXT2",1,"extra",TRUE
"52",355,"EXT3",5,"extra",FALSE
"53",355,"EXT4",3,"extra",TRUE
"54",355,"EXT5",5,"extra",FALSE
"55",355,"EXT6",1,"extra",TRUE
"56",355,"EXT7",5,"extra",FALSE
"57",355,"EXT8",4,"extra",TRUE
"58",355,"EXT9",2,"extra",FALSE
"59",355,"EXT10",2,"extra",TRUE
"60",355,"EST1",4,"neuro",FALSE
"61",355,"EST2",4,"neuro",TRUE
"62",355,"EST3",5,"neuro",FALSE
"63",355,"EST4",2,"neuro",TRUE
"64",355,"EST5",4,"neuro",FALSE
"65",355,"EST6",2,"neuro",FALSE
"66",355,"EST7",3,"neuro",FALSE
"67",355,"EST8",2,"neuro",FALSE
